id,release_date,movie,production_budget,domestic_gross,worldwide_gross,tconst,primary_title,original_title,start_year,runtime_minutes,genres
97,1933-04-07,King Kong,672000.0,10000000.0,10000650.0,tt7733440,King Kong,King Kong,2018,,"Action,Adventure"
42,2018-02-16,Black Panther,200000000.0,700059566.0,1348258224.0,tt1825683,Black Panther,Black Panther,2018,134.0,"Action,Adventure,Sci-Fi"
43,1997-12-19,Titanic,200000000.0,659363944.0,2208208395.0,tt2495766,Titanic,Titanic,2012,,Adventure
43,1997-12-19,Titanic,200000000.0,659363944.0,2208208395.0,tt8852130,Titanic,Titanic,2018,115.0,Family
44,2018-06-15,Incredibles 2,200000000.0,608581744.0,1242520711.0,tt3606756,Incredibles 2,Incredibles 2,2018,118.0,"Action,Adventure,Animation"
46,2016-06-17,Finding Dory,200000000.0,486295561.0,1021215193.0,tt2277860,Finding Dory,Finding Dory,2016,97.0,"Adventure,Animation,Comedy"
47,2010-06-18,Toy Story 3,200000000.0,415004880.0,1068879522.0,tt0435761,Toy Story 3,Toy Story 3,2010,103.0,"Adventure,Animation,Comedy"
51,2010-03-05,Alice in Wonderland,200000000.0,334191110.0,1025491110.0,tt1014759,Alice in Wonderland,Alice in Wonderland,2010,108.0,"Adventure,Family,Fantasy"
51,2010-03-05,Alice in Wonderland,200000000.0,334191110.0,1025491110.0,tt1926979,Alice in Wonderland,Alice in Wonderland,2011,48.0,Documentary
51,2010-03-05,Alice in Wonderland,200000000.0,334191110.0,1025491110.0,tt2049386,Alice in Wonderland,Alice in Wonderland,2010,99.0,"Fantasy,Musical"
60,1951-07-28,Alice in Wonderland,3000000.0,0.0,0.0,tt1014759,Alice in Wonderland,Alice in Wonderland,2010,108.0,"Adventure,Family,Fantasy"
60,1951-07-28,Alice in Wonderland,3000000.0,0.0,0.0,tt1926979,Alice in Wonderland,Alice in Wonderland,2011,48.0,Documentary
60,1951-07-28,Alice in Wonderland,3000000.0,0.0,0.0,tt2049386,Alice in Wonderland,Alice in Wonderland,2010,99.0,"Fantasy,Musical"
52,2012-11-08,Skyfall,200000000.0,304360277.0,1110526981.0,tt1074638,Skyfall,Skyfall,2012,143.0,"Action,Adventure,Thriller"
53,2013-06-21,Monsters University,200000000.0,268488329.0,743588329.0,tt1453405,Monsters University,Monsters University,2013,104.0,"Adventure,Animation,Comedy"
54,2013-03-08,Oz the Great and Powerful,200000000.0,234770996.0,490359051.0,tt1623205,Oz the Great and Powerful,Oz the Great and Powerful,2013,130.0,"Adventure,Family,Fantasy"
55,2014-05-23,X-Men: Days of Future Past,200000000.0,233921534.0,747862775.0,tt1877832,X-Men: Days of Future Past,X-Men: Days of Future Past,2014,132.0,"Action,Adventure,Sci-Fi"
56,2014-05-02,The Amazing Spider-Man 2,200000000.0,202853933.0,708996336.0,tt1872181,The Amazing Spider-Man 2,The Amazing Spider-Man 2,2014,142.0,"Action,Adventure,Sci-Fi"
57,2011-06-24,Cars 2,200000000.0,191450875.0,560155383.0,tt1216475,Cars 2,Cars 2,2011,106.0,"Adventure,Animation,Comedy"
60,2018-11-16,Fantastic Beasts: The Crimes of Grindelwald,200000000.0,159555901.0,652220086.0,tt4123430,Fantastic Beasts: The Crimes of Grindelwald,Fantastic Beasts: The Crimes of Grindelwald,2018,134.0,"Adventure,Family,Fantasy"
62,2011-06-17,Green Lantern,200000000.0,116601172.0,219535492.0,tt1133985,Green Lantern,Green Lantern,2011,114.0,"Action,Adventure,Sci-Fi"
